GW,ED,Periodicity,CT,ACK%,HD%,Rx1%,Rx2%,ACK%_max,HD%_max,Rx1%_max,Rx2%_max,ACK%_min,HD%_min,Rx1%_min,Rx2%_min
1,100,360,50,60.18247817283636,11.618118465510278,18.338110200693226,41.84436797214315,64.90683229813664,13.050314465408805,23.60248447204969,42.99363057324841,55.325443786982255,10.112359550561797,13.609467455621301,40.063091482649845
1,200,360,50,46.49864128633023,14.560106624455027,17.890851168200726,28.607790118129504,48.652931854199686,15.899919289749798,20.126782884310618,29.81072555205047,42.70676691729323,12.520458265139117,14.037854889589903,27.205882352941174
1,300,360,50,38.40361571953654,16.907322964386232,16.127420601577786,22.276195117958753,40.273396424815985,17.776554760594387,17.981072555205046,23.109691160809373,37.128205128205124,15.915573302909298,14.225500526870391,21.846153846153847
1,400,360,50,34.259058144309996,18.951829402928688,15.552489801322807,18.70656834298719,34.95798319327731,19.92084432717678,16.456759026028546,19.362950544844928,33.71335504885993,17.82006920415225,14.781172584640792,17.9080824088748
2,100,360,50,80.11172281947475,4.58303371293295,38.15404718517545,41.9576756342993,84.48687350835323,5.112960760998811,46.171171171171174,48.57142857142857,77.06013363028953,4.1457286432160805,28.79120879120879,34.00900900900901
2,200,360,50,65.28444638727521,7.222969597670877,31.409461583809993,33.87498480346523,67.74566473988439,7.8597339782345825,35.26011560693642,36.55006031363088,63.030998851894374,6.191950464396285,27.439724454649827,31.510107015457788
2,300,360,50,55.059643978543384,9.084793278145238,28.30895026358312,26.750693714960267,56.440281030444964,9.93322203672788,31.225604996096802,27.391975308641975,53.730218538055766,8.363636363636363,26.712856043110083,25.214676034348166
2,400,360,50,47.99509759699437,10.351062780419108,24.333364846727978,23.6617327502664,49.06344410876133,11.166099597896691,25.489067894131185,24.65834818775995,46.32606199770379,9.641959798994975,22.962112514351322,22.266973532796317
3,100,360,50,89.41611978802982,1.5836788474879373,54.651306865371865,34.764812922657974,91.40461215932913,1.9845644983461963,62.05450733752621,40.74844074844075,86.70886075949366,1.124859392575928,48.52320675105485,27.886710239651418
3,200,360,50,77.62932196094964,3.7239087092312895,44.25934242997965,33.36997953097001,79.42794279427943,4.646017699115045,48.31460674157304,36.2303664921466,75.28556593977154,3.0066815144766146,39.66770508826583,30.439223697650664
3,300,360,50,68.24089682159735,5.359620791734654,39.058806332616186,29.182090488981157,69.53405017921148,5.971249539255437,41.75152749490835,31.54121863799283,66.71368124118476,4.839305504248245,36.12244897959184,26.76529926025555
3,400,360,50,61.221044629740014,6.04139922211228,34.476448661655624,26.7445959680844,63.188871054039595,6.590656284760846,36.82556312205343,28.047464940668824,59.43905070118662,5.656108597285068,31.3915857605178,25.092838196286472
4,100,360,50,93.56724128466911,0.8684154692725127,63.84590857854109,29.721332706128003,94.82071713147411,1.187904967602592,69.7029702970297,37.223340040241446,92.0,0.21231422505307856,56.941649899396374,24.583333333333332
4,200,360,50,85.67734681074012,1.8949917721134082,53.11449503814036,32.56285177259976,87.96019900497512,2.931937172774869,58.77632898696088,35.90534979423868,84.02010050251256,1.3562858633281167,48.743718592964825,26.37913741223671
4,300,360,50,77.42033427839434,2.6604256446808296,48.025435482474656,29.39489879591967,78.26935588809368,3.3788395904436856,52.70780856423174,33.1193838254172,76.68557025834909,2.202339986235375,43.966623876765084,25.440806045340054
4,400,360,50,71.00502218395229,3.6331603204795213,42.7687446783827,28.236277505569582,72.20270948319117,4.026143790849673,45.54310764734535,29.960707269155208,69.7617890131259,3.3929510783798,40.6188605108055,25.231368728689723
