GW,ED,Periodicity,CT,ACK%,HD%,Rx1%,Rx2%,ACK%_max,HD%_max,Rx1%_max,Rx2%_max,ACK%_min,HD%_min,Rx1%_min,Rx2%_min
1,100,360,50,67.26087136993513,9.860821810281061,26.343595953061293,40.91727541687386,72.67080745341616,11.163522012578616,30.434782608695656,42.47787610619469,64.32584269662921,8.948194662480377,23.314606741573034,37.85488958990536
1,200,360,50,50.706657630738036,13.242531232178086,21.545176176461478,29.16148145427656,53.24881141045958,14.495114006514658,24.722662440570524,30.88235294117647,47.21804511278195,12.193126022913257,18.195488721804512,27.647058823529413
1,300,360,50,41.72188142440908,15.117275197877921,19.29495659412664,22.426924830282434,43.007360672975814,16.902173913043477,20.39957939011567,23.429179978700745,40.042149631190725,13.291500285225327,17.702845100105375,21.82182182182182
1,400,360,50,36.702887638812555,17.33225203783315,17.927752786395345,18.77513485241721,37.563025210084035,19.194515852613538,19.572107765451662,19.53059513830679,35.42526837324525,16.34782608695652,16.775244299674267,17.591125198098258
2,100,360,50,89.77282327052825,3.4899454261342755,47.48601597262514,42.28680729790311,93.7947494033413,4.270462633451958,52.47747747747747,46.37362637362637,87.6923076923077,2.261306532663317,41.318681318681314,36.26126126126126
2,200,360,50,74.40348619836959,5.699429460849468,37.598426231699804,36.805059966669795,76.48484848484848,5.980271270036992,41.45454545454545,38.96260554885404,71.87141216991964,5.0181378476420795,33.527357392316645,34.26248548199768
2,300,360,50,62.680780549126304,8.258275584924494,33.21775749128663,29.463023057839667,64.01249024199845,8.735063864853728,35.050741608118656,30.431432973805855,61.50885296381831,7.381729200652528,31.716705157813703,28.713629402756506
2,400,360,50,54.12261029571666,9.5305842746947,28.744390320650247,25.378219975066422,55.04531722054381,10.736386138613861,30.034522439585732,26.177370030581038,52.123995407577496,8.706545568430943,26.923076923076923,24.453394706559266
3,100,360,50,98.38362084899244,0.9260162464913716,67.75585913871274,30.627761710279703,100.0,1.3651877133105803,73.16561844863732,34.177215189873415,96.83544303797468,0.5662514156285391,62.65822784810127,25.366876310272534
3,200,360,50,90.2787724501867,2.890665701486807,51.65655325093187,38.62221919925482,91.52915291529153,3.5077951002227175,55.0561797752809,41.06029106029106,88.25363825363826,2.5219298245614032,47.19334719334719,36.26149131767109
3,300,360,50,79.95686709645926,4.876263077189824,45.38427360139319,34.572593495066066,81.67006109979633,5.535455861070912,47.86150712830957,35.913978494623656,77.41496598639456,3.81791483113069,41.76870748299319,32.34700739744452
3,400,360,50,71.66886291086652,5.620781470047892,40.36612192328995,31.302740987576563,73.78277153558052,6.042720629567173,42.34800838574424,32.6226012793177,69.90445859872611,5.2002224694104555,37.86407766990291,29.49452840020844
4,100,360,50,99.73762044227661,0.3220174468146947,81.6956808085627,18.04193963371389,100.0,0.755939524838013,86.04166666666667,21.12676056338028,99.20318725099602,0.0,78.4708249496982,13.958333333333334
4,200,360,50,97.55354979413269,1.2050463517209935,62.961473978667,34.59207581546569,97.99398194583752,1.4705882352941175,67.10130391173522,37.704918032786885,96.81774349083896,0.8905185961236249,59.11282545805208,30.892678034102307
4,300,360,50,92.06928740961081,2.066654858044864,55.5101529928271,36.55913441678369,93.19899244332494,2.2525597269624575,59.3198992443325,38.639281129653405,90.82156611039794,1.8752130923968633,52.18228498074454,33.87909319899244
4,400,360,50,84.85516384900576,3.1754326083857003,49.448781515080846,35.406382333924924,86.40240842950327,3.922594142259414,51.77788602045786,36.51105651105651,83.63636363636363,2.6038926880589166,47.125307125307124,33.90160740379932
