GW,ED,Periodicity,CT,ACK%,HD%,Rx1%,Rx2%,ACK%_max,HD%_max,Rx1%_max,Rx2%_max,ACK%_min,HD%_min,Rx1%_min,Rx2%_min
1,100,360,50,55.95468088139701,11.69534228954046,14.218822620039996,41.73585826135701,58.38509316770186,13.526570048309178,16.24203821656051,42.950819672131146,52.76967930029155,10.08,11.078717201166182,40.23668639053255
1,200,360,50,38.623083848948895,14.563462699100047,8.104513338720011,30.51857051022888,41.679873217115684,16.693418940609952,9.984152139461171,31.699346405228756,36.82634730538922,13.2569558101473,6.58682634730539,28.97058823529412
1,300,360,50,29.79738098822449,15.89089180735515,6.12558339758805,23.671797590636437,31.019978969505786,17.6535694521306,7.360672975814932,24.17815482502651,28.451001053740782,14.37535653166001,4.952581664910432,23.282051282051285
1,400,360,50,24.85734709403478,16.654340361515978,5.003255772346862,19.854091321687918,25.546218487394956,17.62114537444934,5.813953488372093,20.536462699077955,24.328593996840443,15.836909871244636,4.107292539815591,19.17591125198098
2,100,360,50,74.9338348112918,5.053651340263518,29.149656462970817,45.78417834832099,77.60532150776052,5.862068965517241,31.53153153153153,47.52252252252252,71.42857142857143,3.237410071942446,24.615384615384617,44.097995545657014
2,200,360,50,56.1569866961715,7.443901433424929,17.606514027950702,38.5504726682208,58.816568047337284,8.250620347394541,21.301775147928996,39.68636911942099,53.61653272101034,6.658446362515413,14.619164619164618,37.514792899408285
2,300,360,50,44.30243694692622,9.462403994751634,13.138061836720492,31.164375110205725,45.97970335675254,10.766045548654244,14.363778298204528,32.175925925925924,43.364197530864196,8.847736625514404,11.188271604938272,30.29839326702372
2,400,360,50,36.311751074466066,10.243493527558702,9.730319209488837,26.58143186497723,37.46312684365782,10.98051345499536,10.79219288174512,27.628361858190708,35.1063829787234,9.609423434593925,8.764705882352942,25.889781859931116
3,100,360,50,88.65577133060238,2.0630008343582182,47.815153921727436,40.840617408874934,91.40461215932913,2.8665931642778393,56.81341719077568,45.73804573804574,86.07594936708861,1.2373453318335208,41.58004158004158,34.59119496855346
3,200,360,50,70.77657746051837,4.199055516055098,28.020523671753875,42.75605378876449,72.85714285714285,4.980630879911455,34.285714285714285,44.994499449944996,68.37696335078533,3.432751828925155,25.33748701973001,38.57142857142858
3,300,360,50,57.30972029495776,5.788194136642284,19.69200877499003,37.617711519967735,58.63799283154122,6.765557163531115,21.93808882907133,39.1156462585034,54.14965986394557,5.307467057101025,15.034013605442176,36.1917623227549
3,400,360,50,49.12473169883843,6.397518264230603,15.917521001721255,33.207210697117176,51.56498673740053,6.89084895259096,18.93899204244032,34.17112299465241,47.50530785562633,5.947748749305169,14.331210191082802,32.3869610935857
4,100,360,50,94.84364341163106,0.8777243337660472,61.79788082702877,33.04576258460228,96.49484536082474,1.4767932489451476,66.04166666666667,38.83299798792756,93.26732673267327,0.5307855626326964,56.53923541247485,28.4
4,200,360,50,82.63640312465438,2.347295953589653,38.533007718277034,44.10339540637735,85.05516549648947,2.984293193717278,42.62788365095286,46.231155778894475,80.61716489874638,1.9905709795704558,35.27638190954774,42.330677290836654
4,300,360,50,70.36932501538826,3.4266240791482274,29.09619458717335,41.27313042821491,72.1405750798722,3.918169209431346,32.843450479233226,42.57555847568988,66.75062972292191,2.801503245644004,25.12594458438287,39.29712460063898
4,400,360,50,61.116133109653276,4.177437576506719,23.29578076544558,37.8203523442077,62.92022077270446,4.523934771173066,25.962006819288845,38.93627696939287,58.23035096391498,3.8643533123028395,19.476025704399408,36.82415976619581
