timestamp,results
2025-03-29 11:19:32,"{""gw-3"": {""1"": ""blocked"", ""2"": ""blocked""}, ""gw-4"": {""1"": ""blocked"", ""2"": ""blocked""}}"
2025-03-29 11:19:33,"{""gw-3"": {""1"": ""blocked"", ""2"": ""blocked""}}"
2025-03-29 11:19:36,"{""gw-2"": {""1"": ""blocked"", ""2"": ""blocked""}, ""gw-3"": {""1"": ""blocked"", ""2"": ""blocked""}}"
2025-03-29 11:19:42,"{""gw-2"": {""1"": ""blocked"", ""2"": ""blocked""}, ""gw-4"": {""1"": ""blocked"", ""2"": ""blocked""}}"
2025-03-29 11:19:43,"{""gw-3"": {""1"": ""conflict"", ""2"": ""blocked""}}"
2025-03-29 11:19:45,"{""gw-4"": {""1"": ""blocked"", ""2"": ""blocked""}}"
2025-03-29 11:19:50,"{""gw-3"": {""1"": ""blocked"", ""2"": ""blocked""}}"
2025-03-29 11:19:51,"{""gw-3"": {""1"": ""blocked"", ""2"": ""blocked""}}"
2025-03-29 11:19:55,"{""gw-4"": {""1"": ""blocked"", ""2"": ""blocked""}, ""gw-1"": {""1"": ""blocked"", ""2"": ""blocked""}}"
2025-03-29 11:19:56,"{""gw-1"": {""1"": ""blocked"", ""2"": ""blocked""}}"
2025-03-29 11:19:59,"{""gw-4"": {""1"": ""blocked"", ""2"": ""blocked""}}"
2025-03-29 11:20:06,"{""gw-3"": {""1"": ""blocked"", ""2"": ""blocked""}, ""gw-2"": {""1"": ""conflict"", ""2"": ""blocked""}}"
2025-03-29 11:20:11,"{""gw-2"": {""1"": ""blocked"", ""2"": ""blocked""}, ""gw-3"": {""1"": ""conflict"", ""2"": ""blocked""}}"
2025-03-29 11:20:11,"{""gw-2"": {""1"": ""blocked"", ""2"": ""blocked""}, ""gw-3"": {""1"": ""conflict"", ""2"": ""blocked""}}"
2025-03-29 11:20:12,"{""gw-4"": {""1"": ""blocked"", ""2"": ""blocked""}}"
2025-03-29 11:20:15,"{""gw-2"": {""1"": ""blocked"", ""2"": ""blocked""}}"
2025-03-29 11:20:19,"{""gw-3"": {""1"": ""blocked"", ""2"": ""blocked""}}"
2025-03-29 11:20:21,"{""gw-1"": {""1"": ""blocked"", ""2"": ""blocked""}, ""gw-2"": {""1"": ""conflict"", ""2"": ""blocked""}, ""gw-3"": {""1"": ""blocked"", ""2"": ""conflict""}}"
2025-03-29 11:20:23,"{""gw-1"": {""1"": ""blocked"", ""2"": ""blocked""}, ""gw-2"": {""1"": ""blocked"", ""2"": ""blocked""}}"
2025-03-29 11:20:29,"{""gw-3"": {""1"": ""conflict"", ""2"": ""blocked""}, ""gw-2"": {""1"": ""blocked"", ""2"": ""blocked""}}"
2025-03-29 11:20:30,"{""gw-1"": {""1"": ""blocked"", ""2"": ""conflict""}, ""gw-4"": {""1"": ""blocked"", ""2"": ""blocked""}}"
2025-03-29 11:20:33,"{""gw-3"": {""1"": ""blocked"", ""2"": ""blocked""}}"
2025-03-29 11:20:36,"{""gw-1"": {""1"": ""blocked"", ""2"": ""blocked""}}"
2025-03-29 11:20:39,"{""gw-1"": {""1"": ""blocked"", ""2"": ""blocked""}}"
2025-03-29 11:20:52,"{""gw-2"": {""1"": ""blocked"", ""2"": ""blocked""}}"
2025-03-29 11:21:01,"{""gw-2"": {""1"": ""blocked"", ""2"": ""blocked""}, ""gw-4"": {""1"": ""blocked"", ""2"": ""blocked""}}"
2025-03-29 11:21:02,"{""gw-2"": {""1"": ""blocked"", ""2"": ""blocked""}}"
