Time,ID, Address, FType,X,Y,Z,GWDist,Data Rate, Tx Power, Tx,CTx,UCTx, Rx,CRx,UCRx, HD-CUL,HD-UUL, TXdl,Rxdl, Rx1, Rx2, Rx1_s, Rx2_s, Rx1_dc, Rx2_dc, MaxOT, OT
3600,5,0000001|0000000000000000000000000,2,-79.7291,367.992,1,142.405,5,14,13,1,12,12,1,11,0,0,0,0,0,0,0,0,0,0
3600,6,0000001|0000000000000000000000001,2,268.802,463.394,1,343.208,2,14,8,0,8,8,0,8,0,0,0,0,0,0,0,0,0,0
3600,7,0000001|0000000000000000000000010,2,-127.972,321.255,1,146.473,5,14,12,1,11,9,0,9,0,2,0,0,0,0,0,0,0,0
3600,8,0000001|0000000000000000000000011,2,-45.7616,131.434,1,127.091,5,14,10,1,9,9,1,8,0,1,1,1,0,1,0,1,0,0
3600,9,0000001|0000000000000000000000100,4,173.29,-332.018,1,191.72,3,14,9,9,0,9,9,0,0,0,4,4,1,3,1,3,0,0
3600,10,0000001|0000000000000000000000101,4,60.3002,498.083,1,255.307,3,14,7,7,0,6,6,0,0,0,5,2,2,3,0,2,0,0
3600,11,0000001|0000000000000000000000110,4,321.264,268.561,1,277.856,2,14,11,11,0,11,11,0,0,0,9,7,3,6,2,5,0,0
3600,12,0000001|0000000000000000000000111,4,-201.182,-363.003,1,230.747,3,14,13,13,0,12,12,0,0,0,9,6,2,7,1,5,0,0
3600,13,0000001|0000000000000000000001000,4,-235.014,-196.458,1,197.029,3,14,7,7,0,6,6,0,0,0,5,3,2,3,0,3,0,0
3600,14,0000001|0000000000000000000001001,2,286.817,-4.68201,1,37.1164,5,14,11,1,10,10,1,9,0,0,1,1,1,0,1,0,0,0
3600,15,0000001|0000000000000000000001010,2,-156.345,120.631,1,152.719,5,14,14,1,13,10,1,9,0,0,0,0,0,0,0,0,0,0
3600,16,0000001|0000000000000000000001011,2,-137.28,440.281,1,234.634,4,14,14,1,13,11,1,10,0,1,1,1,0,1,0,1,0,0
3600,17,0000001|0000000000000000000001100,2,212.075,496.261,1,324.993,0,14,11,1,10,10,1,9,0,0,1,1,0,1,0,1,0,0
