Time,ID, Address, FType,X,Y,Z,GWDist,Data Rate, Tx Power, Tx,CTx,UCTx, Rx,CRx,UCRx, HD-CUL,HD-UUL, TXdl,Rxdl, Rx1, Rx2, Rx1_s, Rx2_s, Rx1_dc, Rx2_dc, MaxOT, OT
3600,40,0000001|0000000000000000000100100,4,35.8639,199.744,1,61.7427,5,14,10,10,0,10,10,0,0,0,5,1,5,0,1,0,0,0
3600,41,0000001|0000000000000000000100101,4,-340.735,-53.8723,1,105.524,5,14,10,10,0,10,10,0,0,0,4,3,4,0,3,0,0,0
3600,42,0000001|0000000000000000000100110,4,-136.225,-33.1736,1,118.513,5,14,11,11,0,9,9,0,1,0,6,3,6,0,3,0,0,0
3600,43,0000001|0000000000000000000100111,4,482.234,-329.973,1,403.503,2,14,8,8,0,6,6,0,0,0,1,0,0,1,0,0,0,0
3600,44,0000001|0000000000000000000101000,4,-47.513,137.822,1,121.826,5,14,3,3,0,3,3,0,0,0,1,1,1,0,1,0,0,0
3600,45,0000001|0000000000000000000101001,4,-140.918,334.306,1,164.213,3,14,6,6,0,5,5,0,1,0,3,2,3,0,2,0,0,0
3600,46,0000001|0000000000000000000101010,4,286.843,-32.3899,1,49.0585,5,14,17,17,0,15,15,0,1,0,5,4,5,0,4,0,0,0
3600,47,0000001|0000000000000000000101011,4,472.366,-82.2672,1,237.097,2,14,7,7,0,5,5,0,1,0,4,3,0,4,0,3,0,0
3600,48,0000001|0000000000000000000101100,4,-170.907,-249.467,1,261.705,2,14,12,12,0,9,9,0,0,0,3,2,0,3,0,2,0,0
3600,49,0000001|0000000000000000000101101,4,-207.34,-160.922,1,166.482,4,14,5,5,0,3,3,0,0,0,2,1,2,0,1,0,0,0
3600,50,0000001|0000000000000000000101110,4,497.998,-25.7286,1,249.33,2,14,9,9,0,8,8,0,0,0,3,2,0,3,0,2,0,0
3600,51,0000001|0000000000000000000101111,4,-460.015,-325.54,1,387.405,0,14,15,15,0,11,11,0,2,0,6,5,0,6,0,5,0,0
3600,52,0000001|0000000000000000000110000,4,-90.001,-457.422,1,484.598,0,14,9,9,0,8,8,0,0,0,4,1,0,4,0,1,0,0
3600,53,0000001|0000000000000000000110001,4,2.00649,86.6869,1,163.326,5,14,9,9,0,8,8,0,1,0,6,3,6,0,3,0,0,0
3600,54,0000001|0000000000000000000110010,4,-450.127,-167.424,1,260.925,3,14,17,17,0,10,10,0,3,0,4,2,2,2,0,2,0,0
3600,55,0000001|0000000000000000000110011,4,417.246,-318.219,1,359.493,1,14,10,10,0,6,6,0,2,0,3,3,0,3,0,3,0,0
3600,56,0000001|0000000000000000000110100,4,-203.354,480.529,1,307.403,3,14,9,9,0,9,9,0,0,0,6,3,3,3,0,3,0,0
3600,57,0000001|0000000000000000000110101,4,-250.456,125.81,1,125.812,5,14,7,7,0,7,7,0,0,0,5,3,5,0,3,0,0,0
3600,58,0000001|0000000000000000000110110,4,-206.736,-221.63,1,225.814,3,14,11,11,0,8,8,0,1,0,7,4,5,2,2,2,0,0
3600,59,0000001|0000000000000000000110111,4,140.547,-461.619,1,474.418,0,14,11,11,0,7,7,0,2,0,4,3,0,4,0,3,0,0
3600,60,0000001|0000000000000000000111000,4,282.116,171.071,1,174.06,4,14,13,13,0,12,12,0,0,0,5,2,5,0,2,0,0,0
3600,61,0000001|0000000000000000000111001,4,-306.753,-171.002,1,180.174,4,14,9,9,0,8,8,0,0,0,7,3,7,0,3,0,0,0
3600,62,0000001|0000000000000000000111010,4,181.223,234.501,1,181.885,3,14,11,11,0,10,10,0,0,0,6,5,4,2,3,2,0,0
3600,63,0000001|0000000000000000000111011,4,-59.3661,-13.9898,1,191.147,4,14,13,13,0,13,13,0,0,0,7,2,7,0,2,0,0,0
3600,64,0000001|0000000000000000000111100,4,148.54,-195.073,1,219.882,2,14,14,14,0,13,13,0,0,0,6,6,0,6,0,6,0,0
